Resident_Type,Sq_Ft,Market_Rent,Lease_Charges,Security_Deposit,Other_Deposits,Num_Units,Pct_Unit_Occupancy,Pct_Sqft_Occupied,Balance,Property_ID,Property_Name,Report_Date
Future Residents/Applicants,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,184r,Lakeshore Preserve,02/25/2026
Occupied Units,133763.0,263931.0,0.0,0.0,0.0,140,92.1,91.77,0.0,184r,Lakeshore Preserve,02/25/2026
Total Non Rev Units,7753.0,14949.0,0.0,0.0,0.0,8,5.26,5.47,0.0,184r,Lakeshore Preserve,02/25/2026
Total Vacant Units,4242.0,8408.0,0.0,0.0,0.0,4,2.63,3.07,0.0,184r,Lakeshore Preserve,02/25/2026
Current/Notice/Vacant Residents,825052.0,1722576.0,1636735.63,677004.0,0.0,775,97.93,97.94,-74780.87,144r,Winners Circle,02/25/2026
Future Residents/Applicants,34527.0,72888.0,0.0,2133.0,0.0,32,0.0,0.0,-5408.94,144r,Winners Circle,02/25/2026
Occupied Units,808138.0,1686289.0,0.0,0.0,0.0,759,97.93,97.94,0.0,144r,Winners Circle,02/25/2026
Total Non Rev Units,1216.0,2358.0,0.0,0.0,0.0,1,0.12,0.15,0.0,144r,Winners Circle,02/25/2026
Total Vacant Units,15698.0,33929.0,0.0,0.0,0.0,15,1.93,1.9,0.0,144r,Winners Circle,02/25/2026
Current/Notice/Vacant Residents,203505.0,739550.0,675043.47,408721.63,0.0,235,94.04,94.31,147037.76,138r,Everbend Tarrytown,02/25/2026
Future Residents/Applicants,4972.0,18752.0,0.0,6256.71,0.0,6,0.0,0.0,3409.64,138r,Everbend Tarrytown,02/25/2026
Occupied Units,191931.0,696452.0,0.0,0.0,0.0,221,94.04,94.31,0.0,138r,Everbend Tarrytown,02/25/2026
Total Non Rev Units,658.0,2701.0,0.0,0.0,0.0,1,0.42,0.34,0.0,138r,Everbend Tarrytown,02/25/2026
Total Vacant Units,10916.0,40397.0,0.0,0.0,0.0,13,5.53,5.38,0.0,138r,Everbend Tarrytown,02/25/2026
Current/Notice/Vacant Residents,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,134land,55 Riverwalk Place,02/25/2026
Future Residents/Applicants,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,134land,55 Riverwalk Place,02/25/2026
Occupied Units,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,134land,55 Riverwalk Place,02/25/2026
Total Non Rev Units,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,134land,55 Riverwalk Place,02/25/2026
Total Vacant Units,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,134land,55 Riverwalk Place,02/25/2026
Current/Notice/Vacant Residents,292040.0,572421.0,568612.77,106297.0,0.0,312,95.51,95.35,-21147.08,143a,The Ellsworth,02/25/2026
Future Residents/Applicants,6401.0,12261.0,0.0,0.0,0.0,7,0.0,0.0,0.0,143a,The Ellsworth,02/25/2026
Occupied Units,278477.0,546238.0,0.0,0.0,0.0,298,95.51,95.35,0.0,143a,The Ellsworth,02/25/2026
Total Non Rev Units,1014.0,1574.0,0.0,0.0,0.0,1,0.32,0.36,0.0,143a,The Ellsworth,02/25/2026
Total Vacant Units,12549.0,24609.0,0.0,0.0,0.0,13,4.16,4.31,0.0,143a,The Ellsworth,02/25/2026
Current/Notice/Vacant Residents,21781.0,54281.0,0.0,41972.0,0.0,30,93.33,94.12,0.0,183a,Luckey Platt,02/25/2026
Future Residents/Applicants,1280.0,3437.0,0.0,0.0,0.0,2,0.0,0.0,0.0,183a,Luckey Platt,02/25/2026
Occupied Units,20501.0,50844.0,0.0,0.0,0.0,28,93.33,94.12,0.0,183a,Luckey Platt,02/25/2026
Total Non Rev Units,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,183a,Luckey Platt,02/25/2026
Total Vacant Units,1280.0,3437.0,0.0,0.0,0.0,2,6.66,5.87,0.0,183a,Luckey Platt,02/25/2026
Current/Notice/Vacant Residents,318592.0,1212256.0,1180076.57,437771.0,0.0,348,95.68,95.72,-94467.53,134r,55 Riverwalk Place,02/25/2026
Future Residents/Applicants,11162.0,42853.0,0.0,3000.0,0.0,11,0.0,0.0,-17060.0,134r,55 Riverwalk Place,02/25/2026
Occupied Units,304979.0,1158195.0,0.0,0.0,0.0,333,95.68,95.72,0.0,134r,55 Riverwalk Place,02/25/2026
Total Non Rev Units,780.0,3339.0,0.0,0.0,0.0,1,0.28,0.25,0.0,134r,55 Riverwalk Place,02/25/2026
Total Vacant Units,12833.0,50722.0,0.0,0.0,0.0,14,4.02,4.03,0.0,134r,55 Riverwalk Place,02/25/2026
Current/Notice/Vacant Residents,500423.0,819064.0,4144.0,330224.32,0.0,390,96.15,96.27,63397.08,175r,Kinwood Apartments,02/25/2026
Future Residents/Applicants,2748.0,4142.0,0.0,0.0,0.0,2,0.0,0.0,0.0,175r,Kinwood Apartments,02/25/2026
Occupied Units,481772.0,787568.0,0.0,0.0,0.0,375,96.15,96.27,0.0,175r,Kinwood Apartments,02/25/2026
Total Non Rev Units,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,175r,Kinwood Apartments,02/25/2026
Total Vacant Units,18651.0,31496.0,0.0,0.0,0.0,15,3.84,3.72,0.0,175r,Kinwood Apartments,02/25/2026
Current/Notice/Vacant Residents,0.0,0.0,95074.07,242521.12,0.0,10,100.0,0.0,256589.04,139c,The Mill Greenwich,02/25/2026
Future Residents/Applicants,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,139c,The Mill Greenwich,02/25/2026
Occupied Units,0.0,0.0,0.0,0.0,0.0,10,100.0,0.0,0.0,139c,The Mill Greenwich,02/25/2026
Total Non Rev Units,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,139c,The Mill Greenwich,02/25/2026
Total Vacant Units,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,139c,The Mill Greenwich,02/25/2026
Current/Notice/Vacant Residents,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,183c,Luckey Platt,02/25/2026
Future Residents/Applicants,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,183c,Luckey Platt,02/25/2026
Occupied Units,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,183c,Luckey Platt,02/25/2026
Total Non Rev Units,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,183c,Luckey Platt,02/25/2026
Total Vacant Units,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,183c,Luckey Platt,02/25/2026
